"FIPS","CPUE","SE","LCI","UCI","WAVE","StateName","STATE"
"10",0.123568478885567,0.0073837252982684,0.109072633134486,0.138064324636648,"3","Delaware","DE"
"10",0.118227054809311,0.00628873379348334,0.106299142005288,0.130154967613335,"4","Delaware","DE"
"10",0.292908934104309,0.0132019068974227,0.267274025288738,0.318543842919879,"5","Delaware","DE"
"10",0.091261657250497,0.00529242291787092,0.0807548711563051,0.101768443344689,"6","Delaware","DE"
"12",0.020193454722468,0.00217447795106738,0.0161164930733702,0.0242704163715658,"3","Florida","FL"
"12",0.00587419397377548,0.000777226944767508,0.00439745585166791,0.00735093209588305,"4","Florida","FL"
"12",0.0356267859168995,0.00346685944861345,0.0290367781122659,0.042216793721533,"5","Florida","FL"
"12",0.0781300830101037,0.00613654749351381,0.0662175545190685,0.0900426115011389,"6","Florida","FL"
"13",0.0371044862598766,0.00346929652884161,0.0304717710815605,0.0437372014381927,"3","Georgia","GA"
"13",0.0258749087703537,0.00303712297440821,0.0200537401239328,0.0316960774167746,"4","Georgia","GA"
"13",0.0269930222858694,0.0026773540541642,0.0218326616620193,0.0321533829097195,"5","Georgia","GA"
"13",0.0125152999824229,0.00194054847311484,0.00866927690076574,0.01636132306408,"6","Georgia","GA"
"24",0.0590162498543437,0.00526014178659212,0.0487236430688542,0.0693088566398333,"3","Maryland","MD"
"24",0.130222112690693,0.00866592900155031,0.11345215049663,0.146992074884756,"4","Maryland","MD"
"24",0.202902739265135,0.0120164320831223,0.179697063971207,0.226108414559062,"5","Maryland","MD"
"24",0.0669775228607519,0.00792289207772086,0.0518613334509827,0.0820937122705211,"6","Maryland","MD"
"25",0.18651087036057,0.0115499775074644,0.163742943671459,0.209278797049682,"3","Massachusetts","MA"
"25",0.304282002114609,0.0139494998566906,0.276774328563617,0.331789675665601,"4","Massachusetts","MA"
"25",0.274995213612933,0.0121046201161496,0.251200039471811,0.298790387754055,"5","Massachusetts","MA"
"25",0.142241786753342,0.0243488767002501,0.0982330615555651,0.186250511951119,"6","Massachusetts","MA"
"34",0.370849279638452,0.0150790579462471,0.342399294530837,0.399299264746068,"3","New Jersey","NJ"
"34",0.327027191985289,0.0146389510765671,0.299863892684063,0.354190491286516,"4","New Jersey","NJ"
"34",0.421043351906957,0.0176541512915986,0.387559786270045,0.454526917543869,"5","New Jersey","NJ"
"34",0.358653463989102,0.0147581979092896,0.32959313109565,0.387713796882554,"6","New Jersey","NJ"
"36",0.278268469061203,0.0131613129728818,0.25282476227991,0.303712175842496,"3","New York","NY"
"36",0.391140181288407,0.016960364864547,0.357828875318467,0.424451487258348,"4","New York","NY"
"36",0.363668742720908,0.0163299731132523,0.332650072017974,0.394687413423842,"5","New York","NY"
"36",0.128684752703151,0.00906898766612485,0.111180588473629,0.146188916932674,"6","New York","NY"
"37",0.286571630773763,0.0136378650244409,0.26040519446107,0.312738067086456,"3","North Carolina","NC"
"37",0.173169924818856,0.00954855190521384,0.155163566581018,0.191176283056695,"4","North Carolina","NC"
"37",0.210133340292535,0.0104995122337176,0.18972671879765,0.230539961787419,"5","North Carolina","NC"
"37",0.300168306568593,0.0136481321048081,0.273213098275822,0.327123514861363,"6","North Carolina","NC"
"44",0.15676792314317,0.00958304704263114,0.138225342131822,0.175310504154518,"3","Rhode Island","RI"
"44",0.338616695921967,0.01557752613231,0.308622589185124,0.36861080265881,"4","Rhode Island","RI"
"44",0.539001533658876,0.0238998128588562,0.494136800876025,0.583866266441727,"5","Rhode Island","RI"
"44",0.190196760554821,0.0139670928423088,0.163315996454461,0.217077524655181,"6","Rhode Island","RI"
"45",0.0993719466443336,0.00611409277479611,0.0874837838443691,0.111260109444298,"3","South Carolina","SC"
"45",0.0480813294936074,0.00357802349974239,0.0413406078021005,0.0548220511851142,"4","South Carolina","SC"
"45",0.0803657359587509,0.00537521084560189,0.0700922144113851,0.0906392575061166,"5","South Carolina","SC"
"45",0.11233627084615,0.00864636464160892,0.0956611717410794,0.12901136995122,"6","South Carolina","SC"
"51",0.0777294235079617,0.00573283318200077,0.0668818064767162,0.0885770405392071,"3","Virginia","VA"
"51",0.112428212989432,0.00759263188824798,0.0978543114227804,0.127002114556083,"4","Virginia","VA"
"51",0.124495465403704,0.00823352921928173,0.109040421297478,0.13995050950993,"5","Virginia","VA"
"51",0.161347429519777,0.0100617526203789,0.142752449834048,0.179942409205506,"6","Virginia","VA"
"9",0.151340744473211,0.00867761086828654,0.133940285542323,0.1687412034041,"3","Connecticut","CT"
"9",0.354031947272326,0.0172464008853969,0.320727349789033,0.387336544755618,"4","Connecticut","CT"
"9",0.438410238848317,0.020725788269816,0.398452240000443,0.478368237696191,"5","Connecticut","CT"
"9",0.178755505461933,0.0180469888244039,0.143425537472842,0.214085473451024,"6","Connecticut","CT"
