"STATE","WAVE","CPUE","pPositive"
"ME","3",0.538461538461538,0.130769230769231
"ME","4",0.658844133099825,0.201050788091068
"ME","5",0.654281098546042,0.169628432956381
"ME","6",0,0
"NH","2",0,0
"NH","3",0.564766839378238,0.243523316062176
"NH","4",0.592513368983957,0.228877005347594
"NH","5",1.06005361930295,0.296514745308311
"MA","2",0,0
"MA","3",1.58552095222566,0.409913582259905
"MA","4",2.55158638703234,0.706614427287393
"MA","5",2.57426011403747,0.745452077111051
"MA","6",1.83832335329341,0.347305389221557
"RI","2",0.0053475935828877,0.0053475935828877
"RI","3",1.58201267828843,0.430071315372425
"RI","4",3.02562648826398,0.676380542011566
"RI","5",4.17188029361942,0.735742518351214
"RI","6",2.11253561253561,0.43019943019943
"CT","2",0.0163934426229508,0.00273224043715847
"CT","3",1.5384,0.4074
"CT","4",2.65463507711878,0.547940849101606
"CT","5",3.0767110702802,0.60254937988057
"CT","6",1.4471865745311,0.227048371174729
"NY","2",0.546468401486989,0.185873605947955
"NY","3",2.9129307715767,0.670173833485819
"NY","4",4.15861078249113,0.777167483522055
"NY","5",3.99164295874822,0.731596728307255
"NY","6",1.73699925354566,0.379198805673053
"NJ","2",3.13207547169811,0.943396226415094
"NJ","3",4.18791390728477,0.882450331125828
"NJ","4",3.66943327713656,0.751783166904422
"NJ","5",4.42936626407925,0.845976387569548
"NJ","6",4.50609013398295,0.989646772228989
"DE","2",1.73958333333333,0.520833333333333
"DE","3",1.51240610061461,0.352606419303437
"DE","4",1.05544699560332,0.316560820713239
"DE","5",2.47710958685596,0.549050885308662
"DE","6",1.35267349260523,0.558589306029579
"MD","2",0.107712765957447,0.0152925531914894
"MD","3",1.35412559842298,0.186426358772177
"MD","4",2.09844902591262,0.300170228863249
"MD","5",2.68521554634005,0.391937506027582
"MD","6",0.566249176005274,0.128872775214239
"VA","2",1.32264397905759,0.259162303664921
"VA","3",1.08547199285874,0.273599642936844
"VA","4",1.39686369119421,0.305406294549841
"VA","5",1.72722457627119,0.310248940677966
"VA","6",1.52558139534884,0.402325581395349
"NC","1",5.40909090909091,0.789772727272727
"NC","2",4.17564508827524,0.675418741511996
"NC","3",3.64970771822055,0.653670860992767
"NC","4",2.46367772608762,0.48944327999591
"NC","5",2.90766318144658,0.588313755862484
"NC","6",3.68823139765953,0.733716052108633
"SC","2",1.79308135810378,0.427930813581038
"SC","3",1.21094073767095,0.371529216742644
"SC","4",0.626559526326919,0.258617043772468
"SC","5",1.01643954142332,0.334847501622323
"SC","6",1.06263269639066,0.307855626326964
"GA","1",0.010989010989011,0.010989010989011
"GA","2",0.950863213811421,0.225763612217795
"GA","3",0.605629246198641,0.203817534778389
"GA","4",0.349757673667205,0.13354873451804
"GA","5",0.438916141088531,0.171221677178229
"GA","6",0.24733268671193,0.088587132234077
"FL","1",1.11903590752582,0.266437120839482
"FL","2",1.01267573173542,0.273642160251978
"FL","3",0.291114949146037,0.1156208021493
"FL","4",0.120489423475736,0.0628369970966404
"FL","5",0.490827962320278,0.148983639067923
"FL","6",0.83633067440174,0.227193618564177
