"","Indicator name","Category","Biomass","Commercial bluefish landings lbs","Conn","Conn per ssb","Recruitment","Rssb","Total recreational catch n"
"1","Crossshore wind","Climate",0.0577353520994788,0.181617390313266,0.0884865164363327,-0.0379328541802499,0.122808733810771,0.089740858670018,0.123844259949783
"2","First 18c day","Climate",-0.111802241365112,0.123828535010498,0.117091443324555,0.100137221689879,-0.0175232270888819,0.0119164520492425,-0.234478369985896
"3","July proportion 22c","Climate",-0.0396164376216182,-0.329681504894295,-0.191449919294332,-0.0738632506358718,-0.13333093250308,-0.101232941804177,0.0964370385134477
"4","Last 18c day","Climate",0.0329631612248473,-0.692602362648855,-0.179097695046031,-0.151939020485148,-0.0659865482885737,-0.119857687569854,0.148068069553551
"5","Longshore wind","Climate",0.0789587641150941,-0.00578859541274944,-0.0714667759080585,-0.193050260398794,-0.0526122764590818,-0.0529858375535837,0.0311243915297079
"6","N 18c day","Climate",-0.0542496921425586,-0.668728395146387,-0.187108513146833,-0.0935876604822283,0.0209980922661965,-0.014794535664197,0.107310292960124
"7","Avg annual diesel fuel price real dollars","Commercial",0.60364886896765,0.524712208723291,0.380034102521674,0.228145581656527,0.122521807705154,-0.310107226577221,0.616019261793109
"8","Large (>=49.6cm) fall condition","Natural mortality",-0.2944347772094,-0.686863894505028,0.128703051492609,0.325933117428549,0.00365017266310555,0.248904678695242,-0.131502240142425
"9","Large (>=49.6cm) spring condition","Natural mortality",-0.362591018150174,-0.377738517497106,-0.197910178833137,0.216011629406943,-0.0936826467682033,0.188641556032725,-0.400528102828762
"10","Mako avg bbmsy","Natural mortality",0.464676437722465,0.529823826662533,0.42213391216562,0.20871088915812,0.269606371483482,0.00780592770139344,0.319422389614807
"11","Medium (31.2-49.6cm) fall condition","Natural mortality",0.0566599912523454,-0.55019256881366,-0.0519651037806155,-0.0314116832867016,0.252872736644248,0.242087136715187,-0.125639248739837
"12","Medium (31.2-49.6cm) spring condition","Natural mortality",0.311119567430654,-0.35527803965598,0.35774025579771,0.193703692853,0.0404111203683271,-0.134635919272688,0.0834291781681119
"13","Small (<=32.1cm) fall condition","Natural mortality",0.0434681918841494,-0.726927627878097,0.266214649075253,0.298562723463304,0.157888760727808,0.173261768654828,-0.291249666396333
"14","Small (<=32.1cm) spring condition","Natural mortality",0.0438249851946646,-0.392242630321947,0.136013675486969,0.131351369126951,0.0186092740935058,0.0271163519771566,0.028792457520066
